page_id,vertical,week,impressions,clicks,ctr,avg_position,word_count,has_schema_markup,num_internal_links,num_external_links,days_since_last_update,mobile_friendly_score,page_speed_score,title_length,meta_description_length,h1_count,image_count,alt_text_coverage,readability_score
page_00000,guide,0,12,0,0.0,22.66963455556226,908,0,7,4,787,81.0,64.9,60,168,0,11,0.712,47.0
page_00001,product,0,24,3,0.125,8.962207681129398,1177,1,11,5,486,66.9,76.7,65,152,0,7,0.865,48.2
page_00002,landing,0,12,3,0.25,9.7363334680093,1339,0,9,2,884,91.5,99.6,43,169,2,2,0.675,72.0
page_00003,guide,0,8,0,0.0,15.574497411711206,696,1,8,5,391,92.2,47.1,61,80,1,5,0.352,56.6
page_00004,blog,0,14,0,0.0,19.534401977512786,1562,0,12,3,716,82.6,62.2,79,131,1,8,0.78,44.3
page_00005,news,0,9,0,0.0,22.001555399670906,1232,1,10,4,711,69.4,55.7,32,85,0,6,0.728,62.4
page_00006,guide,0,9,1,0.1111111111111111,27.20309013885753,254,0,7,3,496,71.6,49.7,63,122,1,6,0.365,61.2
page_00007,landing,0,9,0,0.0,10.279378346890695,221,0,13,3,293,82.0,71.5,65,192,0,6,0.607,68.6
page_00008,blog,0,7,0,0.0,16.624426365349127,1194,1,9,4,150,59.6,70.0,76,173,1,6,0.511,52.8
page_00009,product,0,7,1,0.14285714285714285,8.203534504197027,1090,1,7,6,84,96.6,41.0,66,158,0,8,0.817,58.8
page_00010,product,0,20,2,0.1,10.43097985055463,1148,0,8,3,456,100.0,70.3,57,129,1,7,0.655,66.3
page_00011,news,0,11,0,0.0,25.014713837618835,1186,0,15,3,364,74.7,50.7,62,100,1,9,0.729,44.9
page_00012,guide,0,5,1,0.2,19.029063364933887,1313,1,7,5,196,83.0,70.2,46,142,0,4,0.71,73.3
page_00013,landing,0,25,2,0.08,11.665690120944456,1674,1,11,2,697,94.6,90.3,51,174,0,5,0.414,60.2
page_00014,product,0,22,3,0.13636363636363635,15.153352592246481,644,0,7,4,154,100.0,77.4,37,149,1,9,0.446,43.5
page_00015,blog,0,5,1,0.2,18.256782746939358,614,0,5,4,434,99.8,72.8,77,80,0,7,0.329,43.4
page_00016,guide,0,5,0,0.0,25.258757662884364,653,0,6,4,393,53.7,61.5,62,139,1,8,0.876,58.5
page_00017,blog,0,5,0,0.0,15.24345291612706,1344,1,6,2,886,73.6,71.1,43,68,2,4,0.921,51.7
page_00018,landing,0,5,1,0.2,5.6991811642051085,1822,0,8,1,101,85.0,79.0,60,163,1,3,0.733,71.3
page_00019,guide,0,8,1,0.125,21.60512610842324,984,0,11,3,777,71.1,77.4,72,111,0,1,0.493,55.7
page_00020,guide,0,10,0,0.0,22.1534613909621,150,1,10,1,623,100.0,68.4,70,92,0,3,0.916,64.5
page_00021,product,0,5,1,0.2,12.694533279518202,348,0,5,6,719,100.0,73.5,43,164,1,11,0.203,47.3
page_00022,news,0,15,0,0.0,26.092028117911166,783,0,12,3,707,66.6,48.9,15,155,1,3,0.679,59.7
page_00023,landing,0,43,4,0.09302325581395349,11.590556647835855,921,0,5,1,703,75.7,58.3,62,143,1,5,0.887,79.7
page_00024,guide,0,9,0,0.0,19.6914869859906,996,0,11,4,2,67.5,81.3,44,212,1,3,0.489,57.8
page_00025,blog,0,12,1,0.08333333333333333,18.400401826444398,1219,0,6,6,530,75.3,83.5,65,157,1,8,0.755,51.7
page_00026,product,0,5,0,0.0,16.79859130469298,1044,0,9,5,336,74.8,71.5,69,112,1,8,0.987,47.0
page_00027,blog,0,14,1,0.07142857142857142,8.678223048461671,1725,1,11,2,818,91.4,93.7,72,153,0,5,0.394,59.7
page_00028,blog,0,10,0,0.0,15.481652966912613,862,1,8,3,210,65.6,78.1,80,125,0,8,0.555,81.1
page_00029,guide,0,22,1,0.045454545454545456,22.691139996394167,769,0,10,6,538,41.4,66.3,73,179,0,0,0.817,39.5
page_00030,guide,0,5,0,0.0,16.964175069415923,1439,1,9,3,197,55.5,50.5,80,145,1,8,0.727,59.3
page_00031,news,0,23,1,0.043478260869565216,24.06305530030239,432,0,9,2,342,63.6,93.0,75,148,2,9,0.826,34.3
page_00032,product,0,11,2,0.18181818181818182,8.411377793837035,1395,1,7,2,873,68.8,82.3,77,85,2,5,0.974,53.8
page_00033,product,0,12,2,0.16666666666666666,10.28359225642183,1251,0,5,2,184,80.6,98.8,55,137,1,7,0.824,63.9
page_00034,product,0,10,2,0.2,12.481882120511774,1126,1,15,3,804,62.9,100.0,38,133,0,6,0.95,36.3
page_00035,blog,0,13,0,0.0,16.07134368837456,1994,0,9,0,738,61.0,49.4,91,99,0,5,0.579,53.3
page_00036,blog,0,7,1,0.14285714285714285,19.34094867188398,889,1,8,3,337,65.0,49.5,57,127,2,7,0.706,64.4
page_00037,product,0,5,0,0.0,8.727817369837236,2230,0,11,4,1,62.4,24.2,73,150,1,5,0.858,62.0
page_00038,blog,0,28,0,0.0,14.884466792485515,1087,1,10,3,13,70.2,84.7,48,135,2,3,0.568,65.1
page_00039,guide,0,5,0,0.0,23.07394935729902,561,0,11,4,719,69.6,80.5,69,86,1,8,0.836,45.4
page_00040,product,0,11,0,0.0,10.000219780929484,1235,1,10,3,606,87.6,71.6,22,125,2,5,0.611,64.4
page_00041,landing,0,25,1,0.04,7.942860443944665,662,0,7,4,3,64.1,50.4,50,119,0,7,0.671,51.0
page_00042,guide,0,11,0,0.0,21.86118552636324,824,1,9,4,270,73.0,68.6,55,142,2,7,0.792,70.7
page_00043,blog,0,11,3,0.2727272727272727,10.15805865628939,1399,1,11,8,0,70.4,73.0,62,138,1,7,0.967,25.3
page_00044,landing,0,5,0,0.0,11.08281097379436,1478,1,3,0,625,89.3,82.5,71,121,1,3,0.563,55.7
page_00045,landing,0,27,4,0.14814814814814814,11.59139596400662,889,0,5,5,314,75.8,74.4,41,119,1,9,0.866,61.5
page_00046,product,0,5,1,0.2,6.614457775440371,1694,0,8,2,294,92.7,80.6,65,137,1,4,0.556,80.2
page_00047,blog,0,8,1,0.125,17.963934540420496,1779,0,9,1,160,61.9,68.0,73,169,1,3,0.529,61.3
page_00048,guide,0,5,0,0.0,16.679504146151025,1918,0,6,1,896,77.3,88.9,89,145,1,6,0.485,62.8
page_00049,blog,0,9,3,0.3333333333333333,9.313188412138073,1465,1,6,4,435,69.9,80.1,66,185,2,11,0.746,65.6
page_00050,blog,0,13,0,0.0,11.20570795181412,1882,1,13,2,699,60.8,51.0,50,175,2,4,0.831,78.8
page_00051,blog,0,19,1,0.05263157894736842,18.745957511026674,260,1,6,6,595,77.1,92.2,38,187,1,3,0.958,54.3
page_00052,landing,0,16,1,0.0625,10.788140877849404,1041,0,5,2,546,100.0,89.6,82,183,1,5,0.294,39.0
page_00053,guide,0,6,0,0.0,16.64902866174176,766,1,11,1,289,66.1,77.4,66,190,2,8,0.455,36.1
page_00054,guide,0,12,0,0.0,18.670571621438626,1260,1,6,3,291,76.2,74.5,56,95,0,6,0.572,70.0
page_00055,landing,0,14,2,0.14285714285714285,8.208661003465204,914,1,13,3,444,59.6,96.5,33,158,1,5,0.693,63.3
page_00056,product,0,10,1,0.1,19.16552184884491,1117,0,6,6,129,57.6,43.9,43,178,1,6,0.653,56.2
page_00057,guide,0,5,0,0.0,20.08925103485598,2141,0,6,2,490,67.0,89.9,65,184,1,7,0.755,51.2
page_00058,blog,0,21,4,0.19047619047619047,14.910980804143495,1115,1,13,0,89,71.7,62.4,61,108,0,5,0.745,62.7
